user_id,segment,city,preferred_zone,historical_order_freq_monthly,account_age_days,favorite_category,time_habit
138,budget,Delhi NCR,East,13,799,None,None
139,budget,Mumbai,East,11,175,None,None
140,mid-range,Hyderabad,Central,6,732,None,None
141,mid-range,Hyderabad,Central,7,19,Beverage,Lunch
142,budget,Delhi NCR,North,15,977,Add-on,LateNight
143,budget,Mumbai,Central,18,46,Beverage,None
144,budget,Bangalore,Central,12,575,None,Morning
145,mid-range,Mumbai,West,6,140,Beverage,None
146,budget,Delhi NCR,East,6,383,Beverage,Dinner
147,mid-range,Delhi NCR,East,5,225,None,Lunch
148,budget,Mumbai,North,15,372,None,None
149,budget,Pune,West,10,645,None,None
150,premium,Mumbai,South,10,895,None,Lunch
151,mid-range,Mumbai,South,5,912,None,Lunch
152,mid-range,Hyderabad,North,7,193,None,None
153,budget,Bangalore,West,20,831,None,None
154,occasional,Mumbai,East,1,173,Dessert,None
155,budget,Delhi NCR,West,13,903,None,None
156,budget,Delhi NCR,West,12,237,None,Dinner
157,budget,Mumbai,West,4,368,Bread,None
158,budget,Bangalore,South,17,238,Bread,Dinner
159,premium,Delhi NCR,South,9,418,Dessert,LateNight
160,mid-range,Bangalore,East,6,895,None,None
161,mid-range,Delhi NCR,East,6,369,None,Lunch
162,budget,Pune,West,10,705,None,Lunch
163,budget,Pune,East,10,971,None,Lunch
164,budget,Delhi NCR,North,16,908,None,None
165,budget,Bangalore,South,12,604,Dessert,Dinner
166,mid-range,Bangalore,North,10,121,None,Morning
167,budget,Pune,West,15,363,None,None
168,mid-range,Bangalore,West,8,630,None,Dinner
169,budget,Pune,North,12,404,None,None
170,premium,Pune,South,13,270,Dessert,Lunch
171,budget,Delhi NCR,West,13,11,Beverage,Morning
172,budget,Pune,Central,18,713,None,None
173,mid-range,Mumbai,East,3,451,Add-on,None
174,mid-range,Delhi NCR,East,8,648,Add-on,Lunch
175,budget,Bangalore,North,15,747,None,None
176,mid-range,Bangalore,Central,9,326,Dessert,Lunch
177,premium,Hyderabad,East,10,422,None,None
178,mid-range,Bangalore,Central,9,140,None,Lunch
179,mid-range,Mumbai,West,6,690,Beverage,None
180,premium,Hyderabad,South,14,640,None,None
181,mid-range,Pune,East,6,425,Beverage,Dinner
182,mid-range,Pune,North,6,321,Dessert,Lunch
183,budget,Bangalore,South,10,450,Add-on,Lunch
184,mid-range,Pune,Central,6,680,None,LateNight
185,budget,Bangalore,West,15,462,Dessert,None
186,premium,Hyderabad,South,19,533,Add-on,Lunch
187,mid-range,Hyderabad,South,8,684,None,Lunch
188,mid-range,Delhi NCR,East,9,537,None,Dinner
189,occasional,Pune,East,1,105,None,LateNight
190,premium,Mumbai,East,14,240,None,LateNight
191,premium,Mumbai,South,19,35,None,None
192,budget,Delhi NCR,South,17,496,Beverage,None
193,budget,Pune,North,18,476,Add-on,None
194,budget,Hyderabad,Central,5,209,Beverage,Morning
195,budget,Hyderabad,West,10,419,None,Morning
196,mid-range,Mumbai,South,7,681,Add-on,None
197,mid-range,Delhi NCR,North,4,807,Bread,None
198,mid-range,Hyderabad,South,9,190,None,LateNight
199,mid-range,Pune,West,5,61,Beverage,None
200,premium,Pune,South,12,949,None,None
201,budget,Delhi NCR,West,25,146,None,Dinner
202,mid-range,Hyderabad,Central,4,582,None,Morning
203,mid-range,Pune,East,4,982,None,Dinner
204,occasional,Hyderabad,Central,2,844,None,None
205,mid-range,Pune,West,6,860,None,Dinner
206,mid-range,Pune,West,7,928,None,None
207,budget,Mumbai,West,15,470,None,Lunch
208,budget,Bangalore,South,14,870,None,None
209,mid-range,Bangalore,Central,8,506,None,Lunch
210,budget,Mumbai,East,16,460,None,Dinner
211,budget,Delhi NCR,East,8,250,Add-on,Dinner
212,budget,Bangalore,East,22,337,None,None
213,mid-range,Pune,North,10,151,None,Lunch
214,mid-range,Mumbai,South,3,402,None,LateNight
215,mid-range,Mumbai,South,10,75,Beverage,Morning
216,budget,Hyderabad,West,14,348,None,Lunch
217,mid-range,Pune,West,6,435,Beverage,LateNight
218,mid-range,Delhi NCR,South,6,862,None,None
219,budget,Hyderabad,West,8,936,None,Lunch
220,premium,Pune,North,13,887,None,None
221,budget,Pune,West,21,498,Dessert,None
222,occasional,Delhi NCR,East,3,315,None,None
223,mid-range,Hyderabad,West,6,561,Dessert,None
224,budget,Pune,Central,15,929,None,None
225,mid-range,Mumbai,West,9,234,None,Lunch
226,occasional,Bangalore,West,1,507,Beverage,None
227,budget,Delhi NCR,West,17,354,None,Morning
228,mid-range,Hyderabad,South,3,870,None,Dinner
229,budget,Hyderabad,South,15,647,None,Lunch
230,mid-range,Pune,North,6,938,None,Dinner
231,mid-range,Hyderabad,Central,4,587,None,None
232,budget,Delhi NCR,North,18,668,Add-on,None
233,occasional,Hyderabad,South,1,897,None,Dinner
234,mid-range,Hyderabad,South,7,61,Beverage,Lunch
235,mid-range,Bangalore,West,6,345,None,None
236,occasional,Mumbai,West,2,344,Add-on,None
237,mid-range,Bangalore,West,10,294,None,Lunch
238,budget,Hyderabad,East,15,864,Add-on,LateNight
239,occasional,Delhi NCR,West,3,29,Beverage,None
240,premium,Pune,North,11,984,None,Lunch
241,budget,Bangalore,South,10,675,Beverage,None
242,budget,Delhi NCR,North,20,782,None,Dinner
243,budget,Delhi NCR,South,18,214,Dessert,None
244,budget,Delhi NCR,Central,16,166,Add-on,None
245,premium,Mumbai,South,14,494,Beverage,LateNight
246,budget,Delhi NCR,Central,15,980,Beverage,Morning
247,mid-range,Mumbai,West,10,726,Bread,Dinner
248,mid-range,Bangalore,East,8,181,None,Dinner
249,budget,Pune,Central,13,996,None,None
250,budget,Delhi NCR,South,11,997,None,None
251,occasional,Bangalore,North,1,602,Dessert,None
252,occasional,Delhi NCR,East,1,599,Beverage,None
253,mid-range,Hyderabad,West,14,974,None,LateNight
254,budget,Mumbai,North,12,616,Add-on,Lunch
255,mid-range,Mumbai,North,3,723,None,None
256,budget,Bangalore,Central,15,834,Beverage,None
257,budget,Delhi NCR,Central,13,811,Beverage,Lunch
258,budget,Delhi NCR,East,10,555,Beverage,None
259,budget,Hyderabad,East,24,80,None,None
260,premium,Pune,East,14,22,None,None
261,premium,Hyderabad,West,13,118,None,None
262,mid-range,Hyderabad,East,11,660,None,None
263,mid-range,Hyderabad,South,5,455,None,Lunch
264,budget,Mumbai,Central,14,998,Add-on,Morning
265,mid-range,Bangalore,Central,11,837,None,Lunch
266,mid-range,Pune,West,9,486,None,Dinner
267,mid-range,Hyderabad,Central,10,284,Add-on,Dinner
268,premium,Bangalore,South,13,860,Dessert,Lunch
269,mid-range,Delhi NCR,East,6,912,Add-on,Dinner
270,budget,Hyderabad,South,16,778,Beverage,None
271,budget,Hyderabad,Central,12,634,Beverage,Dinner
272,mid-range,Hyderabad,East,9,39,None,None
273,mid-range,Hyderabad,East,8,196,None,Lunch
274,mid-range,Hyderabad,South,8,373,Beverage,None
275,mid-range,Bangalore,East,9,296,None,Lunch
276,occasional,Pune,East,2,579,None,LateNight
277,mid-range,Delhi NCR,Central,7,980,Beverage,None
278,mid-range,Mumbai,North,6,257,None,Lunch
279,budget,Hyderabad,West,16,578,None,None
280,budget,Mumbai,West,12,671,None,Dinner
281,mid-range,Hyderabad,West,2,821,Bread,Morning
282,mid-range,Delhi NCR,North,6,311,None,Dinner
283,mid-range,Mumbai,West,11,718,None,LateNight
284,budget,Mumbai,East,20,689,None,LateNight
285,mid-range,Pune,East,4,494,None,LateNight
286,mid-range,Pune,Central,12,362,Add-on,None
287,budget,Hyderabad,Central,15,348,None,Dinner
288,mid-range,Bangalore,West,7,287,Bread,None
289,premium,Bangalore,East,14,246,Beverage,Dinner
290,mid-range,Delhi NCR,South,10,333,None,None
291,occasional,Delhi NCR,Central,3,983,None,None
292,budget,Mumbai,South,16,231,Dessert,Morning
293,budget,Hyderabad,East,12,751,None,None
294,mid-range,Pune,Central,7,621,None,Morning
295,budget,Bangalore,North,14,862,None,Lunch
296,budget,Mumbai,East,12,242,Dessert,Dinner
297,mid-range,Bangalore,South,7,319,None,None
298,occasional,Delhi NCR,Central,1,139,None,Morning
299,mid-range,Bangalore,North,9,65,None,None
300,mid-range,Pune,East,13,724,None,None
301,budget,Mumbai,West,14,115,None,Lunch
302,mid-range,Delhi NCR,Central,5,301,Beverage,None
303,budget,Hyderabad,West,16,461,Beverage,None
304,occasional,Bangalore,South,1,998,None,Lunch
305,mid-range,Delhi NCR,East,9,973,Beverage,None
306,premium,Hyderabad,North,14,851,None,Dinner
307,mid-range,Delhi NCR,West,7,513,Dessert,Lunch
308,mid-range,Delhi NCR,Central,11,654,None,None
309,budget,Delhi NCR,South,10,162,Beverage,Lunch
310,mid-range,Pune,East,6,97,None,Dinner
311,budget,Mumbai,North,10,581,Dessert,None
312,budget,Hyderabad,Central,17,620,None,Morning
313,premium,Pune,South,14,804,None,None
314,budget,Pune,West,18,471,Bread,None
315,premium,Hyderabad,East,7,890,Beverage,Morning
316,premium,Pune,West,18,322,Add-on,Morning
317,budget,Pune,Central,18,71,None,Lunch
318,mid-range,Pune,North,8,980,Beverage,None
319,mid-range,Mumbai,South,8,280,None,None
320,premium,Delhi NCR,South,11,255,None,Lunch
321,budget,Mumbai,Central,10,86,None,LateNight
322,budget,Mumbai,North,16,428,Dessert,None
323,mid-range,Hyderabad,Central,3,491,None,None
324,mid-range,Bangalore,North,7,247,None,Dinner
325,mid-range,Bangalore,East,9,729,Beverage,None
326,budget,Hyderabad,North,9,713,None,Dinner
327,mid-range,Mumbai,East,11,816,Beverage,Lunch
328,premium,Pune,South,11,445,None,None
329,budget,Delhi NCR,Central,15,240,Add-on,None
330,budget,Mumbai,East,12,856,None,LateNight
331,budget,Mumbai,North,12,71,None,LateNight
332,occasional,Mumbai,East,2,619,None,LateNight
333,mid-range,Pune,East,7,459,None,Morning
334,mid-range,Delhi NCR,West,11,715,None,None
335,budget,Bangalore,West,11,975,Dessert,LateNight
336,budget,Bangalore,Central,17,562,Dessert,Morning
337,premium,Hyderabad,West,13,92,Beverage,LateNight
338,mid-range,Pune,North,5,920,None,Lunch
339,premium,Hyderabad,East,10,628,Add-on,Lunch
340,mid-range,Bangalore,North,8,103,None,Lunch
341,budget,Mumbai,Central,11,611,Dessert,LateNight
342,budget,Delhi NCR,East,16,600,Bread,Morning
343,premium,Delhi NCR,South,13,491,Beverage,Dinner
344,mid-range,Pune,West,12,948,None,Lunch
345,premium,Bangalore,South,14,609,None,Dinner
346,budget,Hyderabad,West,17,103,None,None
347,budget,Hyderabad,East,9,428,Dessert,None
348,mid-range,Bangalore,East,3,696,None,None
349,budget,Delhi NCR,South,15,347,Dessert,Lunch
350,mid-range,Hyderabad,West,5,305,None,Dinner
351,mid-range,Hyderabad,Central,6,47,None,None
352,budget,Hyderabad,North,14,332,None,Lunch
353,mid-range,Bangalore,East,10,128,Beverage,LateNight
354,budget,Hyderabad,Central,17,854,None,None
355,mid-range,Delhi NCR,Central,7,483,Add-on,None
356,occasional,Hyderabad,North,2,202,None,None
357,mid-range,Pune,East,5,647,None,Dinner
358,mid-range,Hyderabad,West,5,788,None,Lunch
359,mid-range,Delhi NCR,South,6,283,None,None
360,mid-range,Pune,South,3,959,None,Lunch
361,mid-range,Bangalore,West,8,911,None,LateNight
362,mid-range,Hyderabad,North,5,39,Beverage,Lunch
363,budget,Pune,South,16,736,Dessert,Dinner
364,premium,Mumbai,East,12,574,None,None
365,mid-range,Delhi NCR,Central,11,427,Add-on,None
366,budget,Delhi NCR,South,13,871,Beverage,None
367,premium,Delhi NCR,West,17,979,None,Lunch
368,mid-range,Delhi NCR,South,5,520,None,None
369,mid-range,Bangalore,Central,6,732,None,None
370,mid-range,Bangalore,West,9,864,Dessert,Lunch
371,budget,Hyderabad,West,20,259,None,LateNight
372,budget,Hyderabad,Central,8,158,Dessert,Morning
373,mid-range,Hyderabad,South,10,953,Bread,None
374,budget,Pune,Central,19,774,Beverage,Lunch
375,budget,Mumbai,North,10,292,None,None
376,mid-range,Hyderabad,East,5,966,None,Dinner
377,budget,Pune,East,19,850,Dessert,Lunch
378,budget,Delhi NCR,East,15,753,None,Lunch
379,occasional,Bangalore,Central,2,603,Beverage,Morning
380,budget,Hyderabad,South,22,467,None,LateNight
381,budget,Pune,West,11,363,None,None
382,mid-range,Bangalore,Central,9,791,Beverage,None
383,mid-range,Pune,West,6,476,None,LateNight
384,occasional,Bangalore,South,1,724,None,Dinner
385,mid-range,Mumbai,Central,5,402,Beverage,None
386,premium,Mumbai,West,12,54,Beverage,Dinner
387,budget,Bangalore,West,10,732,None,None
388,occasional,Hyderabad,West,1,689,None,None
389,budget,Mumbai,West,23,997,None,LateNight
390,mid-range,Delhi NCR,South,4,524,Bread,Dinner
391,budget,Pune,East,13,900,Add-on,Dinner
392,premium,Delhi NCR,West,15,112,Beverage,None
393,budget,Pune,West,10,25,Dessert,None
394,occasional,Mumbai,West,1,901,Dessert,Dinner
395,budget,Mumbai,North,24,490,Beverage,None
396,mid-range,Bangalore,East,7,648,None,None
397,budget,Hyderabad,North,17,882,None,None
398,mid-range,Bangalore,Central,8,399,None,None
399,mid-range,Bangalore,West,9,903,Dessert,None
400,budget,Pune,North,9,642,Beverage,Morning
401,budget,Delhi NCR,South,12,656,None,None
402,budget,Bangalore,South,13,774,Dessert,None
403,mid-range,Delhi NCR,West,3,110,Dessert,Lunch
404,mid-range,Delhi NCR,West,10,180,None,Dinner
405,mid-range,Bangalore,North,6,57,None,Dinner
406,mid-range,Bangalore,North,4,310,Beverage,None
407,mid-range,Bangalore,East,6,451,None,Dinner
408,budget,Mumbai,South,14,553,None,None
409,budget,Hyderabad,Central,11,708,None,Morning
410,premium,Mumbai,South,11,189,None,Morning
411,budget,Delhi NCR,Central,19,901,None,None
412,budget,Hyderabad,Central,11,709,None,Dinner
413,premium,Mumbai,West,15,944,None,None
414,premium,Pune,South,8,247,None,LateNight
415,mid-range,Hyderabad,East,12,480,Add-on,Lunch
416,mid-range,Bangalore,North,11,930,None,Lunch
417,budget,Hyderabad,East,15,703,Dessert,None
418,budget,Pune,South,21,85,Beverage,None
419,budget,Hyderabad,East,11,611,None,None
420,mid-range,Bangalore,West,11,716,Dessert,None
421,budget,Bangalore,West,16,875,Beverage,None
422,budget,Bangalore,South,12,403,None,LateNight
423,budget,Hyderabad,North,17,252,None,None
424,budget,Hyderabad,Central,20,377,Dessert,Dinner
425,mid-range,Pune,East,6,726,Bread,Dinner
426,budget,Bangalore,North,15,859,Bread,Lunch
427,mid-range,Hyderabad,East,10,18,Dessert,None
428,budget,Pune,North,17,942,Add-on,None
429,budget,Pune,West,8,862,Dessert,LateNight
430,budget,Bangalore,South,7,631,None,None
431,premium,Bangalore,South,7,661,Beverage,Dinner
432,premium,Mumbai,Central,14,266,Add-on,None
433,mid-range,Mumbai,North,11,935,Beverage,Dinner
434,mid-range,Delhi NCR,East,7,817,None,Lunch
435,occasional,Hyderabad,North,1,603,Beverage,Dinner
436,budget,Bangalore,South,14,102,None,Dinner
437,mid-range,Bangalore,East,14,775,None,None
438,mid-range,Hyderabad,South,11,215,Dessert,Dinner
439,mid-range,Mumbai,Central,6,907,None,None
440,budget,Bangalore,Central,16,523,Beverage,LateNight
441,budget,Bangalore,South,20,273,None,Lunch
442,mid-range,Hyderabad,East,6,774,Dessert,None
443,budget,Bangalore,North,16,489,None,Dinner
444,budget,Delhi NCR,South,20,782,Beverage,None
445,occasional,Mumbai,West,1,1000,None,None
446,premium,Pune,East,8,102,Bread,None
447,mid-range,Hyderabad,North,9,280,None,None
448,mid-range,Pune,North,9,475,Dessert,None
449,mid-range,Bangalore,East,11,608,None,Lunch
450,mid-range,Hyderabad,East,6,120,Dessert,None
451,mid-range,Mumbai,West,13,35,Dessert,Lunch
452,premium,Pune,Central,17,345,None,Dinner
453,mid-range,Pune,South,11,673,Beverage,Dinner
454,mid-range,Delhi NCR,West,6,941,None,None
455,budget,Bangalore,West,11,129,None,Lunch
456,mid-range,Mumbai,North,7,978,Bread,LateNight
457,mid-range,Delhi NCR,East,13,514,Beverage,None
458,mid-range,Delhi NCR,North,4,250,Beverage,None
459,mid-range,Pune,South,4,407,None,None
460,budget,Hyderabad,East,16,696,None,Dinner
461,budget,Pune,West,7,611,Add-on,None
462,mid-range,Mumbai,West,8,680,Add-on,Dinner
463,budget,Delhi NCR,West,14,640,None,None
464,budget,Hyderabad,East,20,43,Beverage,Morning
465,mid-range,Bangalore,South,10,464,None,Lunch
466,budget,Hyderabad,South,18,885,Beverage,Lunch
467,occasional,Bangalore,North,1,712,None,LateNight
468,budget,Bangalore,Central,11,933,None,Dinner
469,mid-range,Bangalore,North,6,417,None,LateNight
470,budget,Bangalore,South,14,135,None,Morning
471,budget,Hyderabad,North,15,688,None,LateNight
472,budget,Mumbai,Central,15,31,None,None
473,mid-range,Delhi NCR,East,4,259,None,Morning
474,occasional,Mumbai,Central,2,220,Dessert,None
475,budget,Delhi NCR,Central,13,222,None,Dinner
476,mid-range,Pune,South,6,842,None,None
477,premium,Mumbai,East,11,802,Beverage,Lunch
478,budget,Mumbai,Central,15,12,None,Morning
479,budget,Bangalore,South,13,143,None,Lunch
480,mid-range,Pune,East,14,827,None,Lunch
481,premium,Mumbai,North,10,686,Beverage,None
482,budget,Delhi NCR,South,14,25,None,None
483,mid-range,Bangalore,South,3,612,Add-on,Dinner
484,premium,Bangalore,North,12,188,None,Morning
485,occasional,Bangalore,North,1,139,Add-on,Lunch
486,mid-range,Hyderabad,Central,5,126,None,Lunch
487,premium,Delhi NCR,West,15,469,Bread,None
488,mid-range,Bangalore,Central,6,617,None,Dinner
489,mid-range,Delhi NCR,West,11,525,None,LateNight
490,mid-range,Mumbai,Central,9,54,None,Lunch
491,mid-range,Pune,East,10,479,Add-on,None
492,occasional,Delhi NCR,North,1,500,None,None
493,budget,Hyderabad,West,16,712,None,Morning
494,mid-range,Delhi NCR,West,10,739,None,Dinner
495,premium,Hyderabad,North,13,930,None,LateNight
496,mid-range,Delhi NCR,East,8,632,Dessert,None
497,premium,Mumbai,North,8,139,None,Lunch
498,mid-range,Bangalore,Central,7,658,Beverage,Dinner
499,budget,Pune,Central,11,739,Add-on,Dinner
500,mid-range,Bangalore,West,9,621,Beverage,None
501,mid-range,Pune,East,7,474,None,Morning
502,premium,Pune,Central,15,450,None,None
503,mid-range,Delhi NCR,North,6,883,None,Morning
504,mid-range,Pune,South,6,450,Dessert,Lunch
505,budget,Hyderabad,South,14,433,Bread,Lunch
506,budget,Bangalore,West,19,418,Dessert,None
507,mid-range,Hyderabad,North,6,330,Beverage,None
508,mid-range,Hyderabad,East,9,691,Dessert,Lunch
509,budget,Bangalore,East,19,986,Add-on,Dinner
510,mid-range,Mumbai,West,4,78,Beverage,Lunch
511,budget,Delhi NCR,North,16,105,None,None
512,mid-range,Hyderabad,North,9,772,None,Dinner
513,mid-range,Bangalore,South,8,579,None,Morning
514,budget,Delhi NCR,Central,14,989,Beverage,LateNight
515,budget,Pune,Central,13,347,Add-on,Dinner
516,premium,Delhi NCR,West,14,372,None,LateNight
517,mid-range,Hyderabad,North,10,304,None,Dinner
518,budget,Pune,East,12,370,Beverage,Lunch
519,budget,Delhi NCR,Central,7,529,None,None
520,budget,Mumbai,South,13,682,Beverage,None
521,occasional,Hyderabad,South,2,877,None,Dinner
522,budget,Delhi NCR,East,18,875,None,None
523,mid-range,Pune,East,8,127,Bread,Dinner
524,mid-range,Bangalore,Central,6,241,None,Dinner
525,mid-range,Hyderabad,Central,8,795,Beverage,Dinner
526,mid-range,Pune,Central,9,701,None,Morning
527,budget,Pune,North,20,633,Dessert,Dinner
528,mid-range,Bangalore,North,6,194,Dessert,Lunch
529,mid-range,Bangalore,East,4,953,None,None
530,budget,Bangalore,East,18,16,None,Lunch
531,occasional,Mumbai,South,3,589,None,Lunch
532,budget,Hyderabad,North,17,155,None,None
533,mid-range,Delhi NCR,North,7,774,None,Lunch
534,budget,Pune,South,6,395,None,Lunch
535,budget,Hyderabad,West,19,359,None,Lunch
536,budget,Mumbai,East,12,329,Add-on,None
537,budget,Bangalore,Central,11,620,None,Lunch
538,premium,Delhi NCR,North,12,169,None,Dinner
539,occasional,Mumbai,Central,1,60,None,Morning
540,mid-range,Delhi NCR,East,6,463,Add-on,Dinner
541,mid-range,Hyderabad,West,10,631,Bread,Dinner
542,budget,Hyderabad,West,12,289,Dessert,None
543,budget,Mumbai,Central,15,126,Dessert,None
544,budget,Bangalore,West,12,123,None,None
545,budget,Bangalore,Central,21,508,None,None
546,budget,Pune,East,13,56,Add-on,Lunch
547,mid-range,Mumbai,West,11,623,None,Lunch
548,occasional,Delhi NCR,North,1,219,Dessert,Dinner
549,mid-range,Bangalore,South,8,795,None,None
550,mid-range,Mumbai,East,5,306,None,Morning
551,mid-range,Bangalore,North,2,17,Beverage,Lunch
552,premium,Hyderabad,West,14,189,Dessert,Morning
